개인정보보호위원회,1786,3545,2953,NNP,*,F,개인정보보호위원회,*,*,*,*,*
개보위,1786,3545,2953,NNP,*,F,개보위,*,*,*,*,*
원자력안전위원회,1786,3545,2953,NNP,*,F,원자력안전위원회,*,*,*,*,*
원안위,1786,3545,2953,NNP,*,F,원안위,*,*,*,*,*
국무조정실,1786,3546,2953,NNP,*,T,국무조정실,*,*,*,*,*
국무총리비서실,1786,3546,2953,NNP,*,T,국무총리비서실,*,*,*,*,*
국가정보원,1786,3546,2953,NNP,*,T,국가정보원,*,*,*,*,*
방송통신위원회,1786,3545,2953,NNP,*,F,방송통신위원회,*,*,*,*,*
방통위,1786,3545,2953,NNP,*,F,방통위,*,*,*,*,*
정유업계,1786,3545,2953,NNP,*,F,정유업계,*,*,*,*,*
긴급수송,1786,3546,2953,NNP,*,T,긴급수송,*,*,*,*,*
면허정지,1786,3545,2953,NNP,*,F,면허정지,*,*,*,*,*
관계부처,1786,3545,2953,NNP,*,F,관계부처,*,*,*,*,*
합동브리핑,1786,3546,2953,NNP,*,T,합동브리핑,*,*,*,*,*
관계부처합동,1786,3546,2953,NNP,*,T,관계부처합동,*,*,*,*,*
대우조선,1786,3546,2953,NNP,*,T,대우조선,*,*,*,*,*
대우조선해양,1786,3546,2953,NNP,*,T,대우조선해양,*,*,*,*,*
안전운임제도,1786,3545,2953,NNP,*,F,안전운임제도,*,*,*,*,*
안전운임,1786,3546,2953,NNP,*,T,안전운임,*,*,*,*,*
화상회의,1786,3545,2953,NNP,*,F,화상회의,*,*,*,*,*
국무조정실장,1786,3546,2953,NNP,*,T,국무조정실장,*,*,*,*,*
생산중단,1786,3546,2953,NNP,*,T,생산중단,*,*,*,*,*
건설공사,1786,3545,2953,NNP,*,F,건설공사,*,*,*,*,*
사회관계망,1786,3546,2953,NNP,*,T,사회관계망,*,*,*,*,*
사회관계망서비스,1786,3545,2953,NNP,*,F,사회관계망서비스,*,*,*,*,*
비상체제,1786,3546,2953,NNP,*,T,비상체제,*,*,*,*,*
법조계,1786,3545,3750,NNP,*,F,법조계,*,*,*,*,*
정권퇴진,1786,3546,2953,NNP,*,T,정권퇴진,*,*,*,*,*
정권퇴진,1786,3546,2953,NNP,*,T,정권퇴진,*,*,*,*,*
기아오토큐,1786,3545,2953,NNP,*,F,기아오토큐,*,*,*,*,*
국제터미널,1786,3546,2953,NNP,*,T,국제터미널,*,*,*,*,*
